time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-13T12:53:18.080Z,35.6195,-117.4401667,6.67,0.93,ml,21,78,0.03751,0.17,ci,ci38832879,2019-09-13T12:57:39.934Z,"17km SSW of Searles Valley, CA",earthquake,0.29,0.49,0.263,9,automatic,ci,ci
2019-09-13T12:48:01.980Z,35.9818344,-120.5416641,1.82,0.7,md,12,99,0.02591,0.06,nc,nc73272225,2019-09-13T12:49:39.517Z,"14km NW of Parkfield, CA",earthquake,0.3,1.22,0.06,5,automatic,nc,nc
2019-09-13T12:45:24.439Z,60.2162,-143.1146,10.1,1.7,ml,,,,1.05,ak,ak019brkzquw,2019-09-13T12:51:11.376Z,"41km WNW of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-13T12:44:03.650Z,36.0508333,-117.8383333,1.23,0.68,ml,7,124,0.06025,0.13,ci,ci38832871,2019-09-13T12:47:59.877Z,"10km E of Coso Junction, CA",earthquake,0.38,0.52,0.152,5,automatic,ci,ci
2019-09-13T12:42:21.050Z,35.9046667,-117.7455,7.81,0.83,ml,14,60,0.07365,0.1,ci,ci38832863,2019-09-13T12:46:31.867Z,"15km ESE of Little Lake, CA",earthquake,0.22,0.75,0.214,11,automatic,ci,ci
2019-09-13T12:40:13.100Z,33.9816667,-116.7471667,14.87,0.61,ml,19,92,0.07336,0.13,ci,ci38832855,2019-09-13T12:43:51.556Z,"8km NNE of Cabazon, CA",earthquake,0.28,0.58,0.126,12,automatic,ci,ci
2019-09-13T12:37:27.210Z,35.4541667,-117.2338333,6.22,1.25,ml,20,130,0.05285,0.14,ci,ci38832839,2019-09-13T12:48:24.610Z,"37km SSE of Trona, CA",earthquake,0.36,0.61,0.209,16,automatic,ci,ci
2019-09-13T12:30:12.720Z,37.6393318,-118.9366684,3.85,1.04,md,12,100,0.02678,0.03,nc,nc73272220,2019-09-13T12:31:49.883Z,"4km E of Mammoth Lakes, CA",earthquake,0.66,1.19,0.17,12,automatic,nc,nc
2019-09-13T12:24:12.570Z,37.6435013,-118.9363327,5.05,1.62,md,19,93,0.02267,0.03,nc,nc73272215,2019-09-13T12:25:50.056Z,"4km E of Mammoth Lakes, CA",earthquake,0.46,0.75,0.13,20,automatic,nc,nc
2019-09-13T12:21:57.580Z,37.6416664,-118.9356689,4.92,1.43,md,20,68,0.02455,0.03,nc,nc73272210,2019-09-13T12:23:35.320Z,"4km E of Mammoth Lakes, CA",earthquake,0.46,0.7,0.21,19,automatic,nc,nc
2019-09-13T12:19:20.740Z,37.6403351,-118.9348297,5.23,1.37,md,18,70,0.02596,0.02,nc,nc73272205,2019-09-13T12:21:00.515Z,"4km E of Mammoth Lakes, CA",earthquake,0.44,0.72,0.14,16,automatic,nc,nc
2019-09-13T12:18:42.950Z,37.6409988,-118.9353333,4.88,2.04,md,18,69,0.02525,0.02,nc,nc73272200,2019-09-13T12:20:19.554Z,"4km E of Mammoth Lakes, CA",earthquake,0.48,0.7,0.18,17,automatic,nc,nc
2019-09-13T12:17:09.980Z,37.6438332,-118.9358368,5.24,1.26,md,19,73,0.02239,0.02,nc,nc73272185,2019-09-13T12:58:02.566Z,"4km ENE of Mammoth Lakes, CA",earthquake,0.48,0.85,0.17,18,automatic,nc,nc
2019-09-13T12:11:28.570Z,35.5761667,-117.3466667,2.4,1.73,ml,30,65,0.05045,0.23,ci,ci38832799,2019-09-13T12:22:32.480Z,"21km S of Trona, CA",earthquake,0.31,0.41,0.114,26,automatic,ci,ci
2019-09-13T12:10:54.950Z,37.6404991,-118.9353333,4.63,1.12,md,14,70,0.02574,0.03,nc,nc73272175,2019-09-13T12:53:02.982Z,"4km E of Mammoth Lakes, CA",earthquake,0.5,1.03,0.21,12,automatic,nc,nc
